mild,severe_lb,severe_estimate,severe_ub
0.1,0.173328797999638,1.09231582087233,5.81550176917694
1,1.68812264906542,8.67376539998756,29.8339099578047
2,3.30517511791611,14.9631587749009,42.6272596085065
3,4.87234281754576,20.1204471894595,50.9131742576236
4,6.3997189388711,24.5498019695137,56.9596912130218
5,7.89350393002309,28.454987481755,61.6581958867706
6,9.35802458473653,31.9579967838261,65.4569705014182
7,10.7964744097929,35.1392893855362,68.6142090038131
8,12.2113007514731,38.0554483844927,71.2923274560465
9,13.604497814175,40.7482695189296,73.6001891715149
10,14.9776764489641,43.2496201244726,75.6141709901381
11,16.332233504789,45.5845991400304,77.3899489987502
12,17.6692979806214,47.7732466117824,78.9691893175438
13,18.9898710467258,49.8319916007258,80.3839324399116
14,20.2948243552184,51.7744686611423,81.659288294945
15,21.5849268714393,53.61214659133,82.8152788917533
16,22.8608617713999,55.3547808241706,83.8681061545234
17,24.1232421986046,57.0107539006175,84.8310519081575
18,25.3725924313173,58.5872946516946,85.7151076349632
19,26.6094204644312,60.0907585394364,86.529501828676
20,27.8341801414379,61.5267224975311,87.2820251259132
21,29.0472761251262,62.9001089461235,87.979307008522
22,30.2490806137015,64.2152990406602,88.6270362665851
23,31.4399446694069,65.476219702914,89.2301302805734
24,32.6201636821655,66.6863691759325,89.792847552979
25,33.7900617368629,67.8489552895271,90.3189322684909
26,34.9498931889185,68.9668365809366,90.8116506150249
27,36.0999120506561,70.0426291170369,91.2738919470571
28,37.2403700148689,71.0787321303366,91.7082216507982
29,38.3714584991085,72.0773013194256,92.1169054695286
30,39.4934080505233,73.0403603874355,92.501985210901
31,40.6063846840688,73.9697280416465,92.8652731239882
32,41.7106086580104,74.8671353417029,93.2084190983815
33,42.8062002463117,75.734112161195,93.532883960081
34,43.8933544733753,76.5721416810237,93.8400133672569
35,44.9722125479594,77.3825671918831,94.1310148403144
36,46.0429030050468,78.1666356633192,94.4069852462606
37,47.1055576509103,78.9255175863078,94.6689270738645
38,48.1603177621033,79.660317530121,94.9177598288565
39,49.2073066746063,80.3720608460893,95.1543223815449
40,50.2466099188813,81.0616874160988,95.3793773949459
41,51.2783438919367,81.7301032306171,95.5936337042753
42,52.3026022780644,82.3781486281593,95.7977403999935
43,53.319502672425,83.0066322171604,95.9923017166307
44,54.3291013223041,83.6162816561127,96.1778653770014
45,55.3314951470961,84.2078104542101,96.3549465605828
46,56.3267601228628,84.7818827663933,96.5240197916929
47,57.3149786197247,85.3391324971404,96.6855272413436
48,58.2962018310024,85.8801446536498,96.8398755949957
49,59.2704936785556,86.4054826915166,96.9874460509721
50,60.2379402390512,86.9156944773211,97.1285975672009
51,61.1985867262891,87.4112805622141,97.2636596449171
52,62.1524746296201,87.8927165905621,97.392940191326
53,63.0996697157723,88.3604685461448,97.5167308390613
54,64.0402095497648,88.8149676485755,97.6353013777327
55,64.9741312819849,89.2566260113077,97.7489050759559
56,65.9014853777918,89.6858440060592,97.8577814876224
57,66.8222980902154,90.1029937760152,97.9621531145264
58,67.7366094575358,90.5084379898226,98.0622309871963
59,68.6444400773405,90.9025157504635,98.158211867049
60,69.5458149852003,91.285554300093,98.2502818356996
61,70.4407577882833,91.657867101246,98.338616404213
62,71.3292967582404,92.0197570060604,98.4233818056083
63,72.2114516658677,92.371511469313,98.5047343685505
64,73.0872204012781,92.7133983025612,98.5828200666375
65,73.9565964471359,93.0456736844589,98.6577768543876
66,74.8196166180528,93.3686004546774,98.7297391169933
67,75.6762715019572,93.6824143758774,98.798830419324
68,76.5265689415287,93.9873488654409,98.8651694175445
69,77.3704722792013,94.2836132459651,98.928865426495
70,78.2080074792976,94.5714311440297,98.990027005193
71,79.0391457454977,94.8509994299054,99.0487533626698
72,79.8638607695165,95.1225091221799,99.1051391446006
73,80.682143753186,95.3861503153403,99.1592756400928
74,81.4939624385573,95.6420990126716,99.211248257388
75,82.299288189997,95.8905263890994,99.2611386474901
76,83.0980738529841,96.131592224463,99.3090235651307
77,83.8902821063097,96.3654539315509,99.354976852998
78,84.6758737378491,96.5922629986989,99.3990688681975
79,85.4547729289022,96.8121554539668,99.4413648028326
80,86.226930844327,97.0252704336723,99.4819284324299
81,86.9922705483614,97.2317346715847,99.5208192482689
82,87.7506989330519,97.4316664748991,99.5580933808974
83,88.5021406003664,97.6251847927184,99.5938054040058
84,89.2464875255179,97.812396086351,99.6280059962793
85,89.9836218520289,97.9934007048506,99.6607432534176
86,90.7134062381963,98.1682906963521,99.6920623976164
87,91.4357033327127,98.3371546114448,99.722006738424
88,92.1503346042679,98.5000678860599,99.7506160583463
89,92.8571153453613,98.6571012480908,99.7779282108086
90,93.555809676026,98.8083106751676,99.803977464231
91,94.2461764907934,98.953747605479,99.828796378587
92,94.9279063380007,99.093445251641,99.852413555369
93,95.600642698822,99.2274232666683,99.8748545697629
94,96.2639580790156,99.3556824832291,99.8961412093684
95,96.9173224095823,99.4781981480982,99.9162905038282
96,97.5600739989561,99.5949131928952,99.9353138062439
97,98.1913446392681,99.7057218402595,99.9532143594008
98,98.8099175324014,99.810439043289,99.9699827154018
99,99.413955835308,99.9087404840741,99.9855877118067
100,100,100,100

